,day,month,year,moon_phase,full_moon_days,dark_moon_days,season_rainy,season_summer,season_winter
2023-12-28 00:00,28,12,2023,0.9883650970458985,1,0,0,0,1
2023-12-28 01:00,28,12,2023,0.987524642944336,1,0,0,0,1
2023-12-28 02:00,28,12,2023,0.9866510009765626,1,0,0,0,1
2023-12-28 03:00,28,12,2023,0.9857444000244141,1,0,0,0,1
2023-12-28 04:00,28,12,2023,0.984804916381836,1,0,0,0,1
2023-12-28 05:00,28,12,2023,0.983832778930664,1,0,0,0,1
2023-12-28 06:00,28,12,2023,0.9828280639648438,1,0,0,0,1
2023-12-28 07:00,28,12,2023,0.9817908477783203,1,0,0,0,1
2023-12-28 08:00,28,12,2023,0.980721435546875,1,0,0,0,1
2023-12-28 09:00,28,12,2023,0.9796199798583984,0,0,0,0,1
2023-12-28 10:00,28,12,2023,0.9784864807128906,0,0,0,0,1
2023-12-28 11:00,28,12,2023,0.9773211669921875,0,0,0,0,1
2023-12-28 12:00,28,12,2023,0.976124267578125,0,0,0,0,1
2023-12-28 13:00,28,12,2023,0.9748958587646485,0,0,0,0,1
2023-12-28 14:00,28,12,2023,0.9736360931396484,0,0,0,0,1
2023-12-28 15:00,28,12,2023,0.9723451232910156,0,0,0,0,1
2023-12-28 16:00,28,12,2023,0.9710231781005859,0,0,0,0,1
2023-12-28 17:00,28,12,2023,0.96967041015625,0,0,0,0,1
2023-12-28 18:00,28,12,2023,0.9682868957519531,0,0,0,0,1
2023-12-28 19:00,28,12,2023,0.9668729400634766,0,0,0,0,1
2023-12-28 20:00,28,12,2023,0.9654285430908203,0,0,0,0,1
2023-12-28 21:00,28,12,2023,0.9639540100097657,0,0,0,0,1
2023-12-28 22:00,28,12,2023,0.9624494171142578,0,0,0,0,1
2023-12-28 23:00,28,12,2023,0.9609149169921875,0,0,0,0,1
2023-12-29 00:00,29,12,2023,0.9593508148193359,0,0,0,0,1
2023-12-29 01:00,29,12,2023,0.9577571868896484,0,0,0,0,1
2023-12-29 02:00,29,12,2023,0.9561341857910156,0,0,0,0,1
2023-12-29 03:00,29,12,2023,0.9544819641113281,0,0,0,0,1
2023-12-29 04:00,29,12,2023,0.9528008270263671,0,0,0,0,1
2023-12-29 05:00,29,12,2023,0.9510907745361328,0,0,0,0,1
2023-12-29 06:00,29,12,2023,0.9493521881103516,0,0,0,0,1
2023-12-29 07:00,29,12,2023,0.9475849914550781,0,0,0,0,1
2023-12-29 08:00,29,12,2023,0.945789566040039,0,0,0,0,1
2023-12-29 09:00,29,12,2023,0.9439659881591796,0,0,0,0,1
2023-12-29 10:00,29,12,2023,0.942114486694336,0,0,0,0,1
2023-12-29 11:00,29,12,2023,0.9402352142333984,0,0,0,0,1
2023-12-29 12:00,29,12,2023,0.9383283233642579,0,0,0,0,1
2023-12-29 13:00,29,12,2023,0.93639404296875,0,0,0,0,1
2023-12-29 14:00,29,12,2023,0.9344324493408203,0,0,0,0,1
2023-12-29 15:00,29,12,2023,0.93244384765625,0,0,0,0,1
2023-12-29 16:00,29,12,2023,0.9304283905029297,0,0,0,0,1
2023-12-29 17:00,29,12,2023,0.92838623046875,0,0,0,0,1
2023-12-29 18:00,29,12,2023,0.9263175201416015,0,0,0,0,1
2023-12-29 19:00,29,12,2023,0.9242224884033203,0,0,0,0,1
2023-12-29 20:00,29,12,2023,0.9221013641357422,0,0,0,0,1
2023-12-29 21:00,29,12,2023,0.9199542236328125,0,0,0,0,1
2023-12-29 22:00,29,12,2023,0.9177812194824219,0,0,0,0,1
2023-12-29 23:00,29,12,2023,0.9155827331542968,0,0,0,0,1
2023-12-30 00:00,30,12,2023,0.9133587646484375,0,0,0,0,1
2023-12-30 01:00,30,12,2023,0.9111095428466797,0,0,0,0,1
2023-12-30 02:00,30,12,2023,0.9088352966308594,0,0,0,0,1
2023-12-30 03:00,30,12,2023,0.9065361785888671,0,0,0,0,1
2023-12-30 04:00,30,12,2023,0.9042123413085937,0,0,0,0,1
2023-12-30 05:00,30,12,2023,0.901864013671875,0,0,0,0,1
2023-12-30 06:00,30,12,2023,0.8994913482666016,0,0,0,0,1
2023-12-30 07:00,30,12,2023,0.8970945739746093,0,0,0,0,1
2023-12-30 08:00,30,12,2023,0.8946738433837891,0,0,0,0,1
2023-12-30 09:00,30,12,2023,0.8922293090820312,0,0,0,0,1
2023-12-30 10:00,30,12,2023,0.8897611999511719,0,0,0,0,1
2023-12-30 11:00,30,12,2023,0.8872696685791016,0,0,0,0,1
2023-12-30 12:00,30,12,2023,0.8847550201416016,0,0,0,0,1
2023-12-30 13:00,30,12,2023,0.8822172546386718,0,0,0,0,1
2023-12-30 14:00,30,12,2023,0.8796566009521485,0,0,0,0,1
2023-12-30 15:00,30,12,2023,0.8770733642578125,0,0,0,0,1
2023-12-30 16:00,30,12,2023,0.8744676208496094,0,0,0,0,1
2023-12-30 17:00,30,12,2023,0.871839599609375,0,0,0,0,1
2023-12-30 18:00,30,12,2023,0.869189453125,0,0,0,0,1
2023-12-30 19:00,30,12,2023,0.866517333984375,0,0,0,0,1
2023-12-30 20:00,30,12,2023,0.8638235473632813,0,0,0,0,1
2023-12-30 21:00,30,12,2023,0.8611080932617188,0,0,0,0,1
2023-12-30 22:00,30,12,2023,0.858371353149414,0,0,0,0,1
2023-12-30 23:00,30,12,2023,0.8556134033203125,0,0,0,0,1
