,timestamp,timezone,humidity,pm_2_5,pm_2_5_sp,temperature
0,2022-03-17 19:00:00,Asia/Bangkok,60.94,15,15,31.20
1,2022-03-17 20:00:00,Asia/Bangkok,59.78,9.05,9.05,31.66
2,2022-03-17 21:00:00,Asia/Bangkok,63.22,7.90,7.90,31.23
3,2022-03-17 22:00:00,Asia/Bangkok,69.07,11.97,11.97,30.41
4,2022-03-17 23:00:00,Asia/Bangkok,73.47,14.84,14.84,29.22
5,2022-03-18 00:00:00,Asia/Bangkok,74.18,15.66,15.66,29.05
6,2022-03-18 01:00:00,Asia/Bangkok,74.29,14.83,14.83,28.81
7,2022-03-18 02:00:00,Asia/Bangkok,76.21,23.06,23.96,28.24
8,2022-03-18 03:00:00,Asia/Bangkok,74.98,33.68,37.18,28.09
9,2022-03-18 04:00:00,Asia/Bangkok,74.62,14.67,14.72,26.97
10,2022-03-18 05:00:00,Asia/Bangkok,72.49,21.20,21.65,26.83
11,2022-03-18 06:00:00,Asia/Bangkok,72.74,12.84,12.86,26.88
12,2022-03-18 07:00:00,Asia/Bangkok,73.67,18.38,18.68,27.11
13,2022-03-18 08:00:00,Asia/Bangkok,66.09,23.53,23.87,28.04
14,2022-03-18 09:00:00,Asia/Bangkok,62.87,19.07,19.10,28.85
15,2022-03-18 10:00:00,Asia/Bangkok,56.59,13.83,13.90,30.33
16,2022-03-18 11:00:00,Asia/Bangkok,51.44,7.28,7.29,31.60
17,2022-03-18 12:00:00,Asia/Bangkok,46.48,2.57,2.57,33.03
18,2022-03-18 13:00:00,Asia/Bangkok,42.48,3.12,3.12,34.66
19,2022-03-18 14:00:00,Asia/Bangkok,44.73,5.42,5.42,34.58
20,2022-03-18 15:00:00,Asia/Bangkok,41.04,5.54,5.54,36.18
21,2022-03-18 16:00:00,Asia/Bangkok,37.89,4.21,4.21,36.53
22,2022-03-18 17:00:00,Asia/Bangkok,36.47,4.65,4.65,36.43
23,2022-03-18 18:00:00,Asia/Bangkok,41.88,6.50,6.50,35.15
24,2022-03-18 19:00:00,Asia/Bangkok,44.27,6.09,6.09,34.28
25,2022-03-18 20:00:00,Asia/Bangkok,53.59,10.40,10.40,32.86
26,2022-03-18 21:00:00,Asia/Bangkok,59.51,10.78,10.78,31.82
27,2022-03-18 22:00:00,Asia/Bangkok,63.72,16.03,16.07,30.74
28,2022-03-18 23:00:00,Asia/Bangkok,64.13,12.56,12.56,30.82
29,2022-03-19 00:00:00,Asia/Bangkok,63.36,11.51,11.51,31.31
30,2022-03-19 01:00:00,Asia/Bangkok,66.45,13.83,13.83,30.50
31,2022-03-19 02:00:00,Asia/Bangkok,72.14,20.59,20.68,29.34
32,2022-03-19 03:00:00,Asia/Bangkok,75.10,26.98,27.83,28.55
33,2022-03-19 04:00:00,Asia/Bangkok,75.28,24.64,25.09,29.19
34,2022-03-19 05:00:00,Asia/Bangkok,76.90,25.58,26.73,28.78
35,2022-03-19 06:00:00,Asia/Bangkok,75.73,21.64,22.40,28.89
36,2022-03-19 07:00:00,Asia/Bangkok,75.33,17.60,18.25,28.19
37,2022-03-19 08:00:00,Asia/Bangkok,75.21,26.16,27.65,28.40
38,2022-03-19 09:00:00,Asia/Bangkok,67.32,11.07,11.08,29.63
39,2022-03-19 10:00:00,Asia/Bangkok,63.29,12.14,12.14,31.01
40,2022-03-19 11:00:00,Asia/Bangkok,60.06,13.28,13.28,31.97
41,2022-03-19 12:00:00,Asia/Bangkok,54.29,11.95,11.95,33.33
42,2022-03-19 13:00:00,Asia/Bangkok,56.19,12.64,12.64,32.88
43,2022-03-19 14:00:00,Asia/Bangkok,52.94,10.69,10.69,34.51
44,2022-03-19 15:00:00,Asia/Bangkok,65.85,9.14,9.14,30.68
45,2022-03-19 16:00:00,Asia/Bangkok,79.76,2.92,2.92,26.78
46,2022-03-19 17:00:00,Asia/Bangkok,75.52,9.23,9.29,27.78
47,2022-03-19 18:00:00,Asia/Bangkok,76.28,11.17,11.27,27.58
48,2022-03-19 19:00:00,Asia/Bangkok,77.06,9.58,9.58,27.97
49,2022-03-19 20:00:00,Asia/Bangkok,76.57,11.35,11.35,27.95
50,2022-03-19 21:00:00,Asia/Bangkok,74.80,5.15,5.15,28.27
51,2022-03-19 22:00:00,Asia/Bangkok,75.87,6.83,6.83,27.74
52,2022-03-19 23:00:00,Asia/Bangkok,77.97,5.60,5.60,27.01
53,2022-03-20 00:00:00,Asia/Bangkok,76.97,8.01,8.38,27.22
54,2022-03-20 01:00:00,Asia/Bangkok,78.03,10.50,10.50,27.14
55,2022-03-20 02:00:00,Asia/Bangkok,77.61,10.83,10.83,27.15
56,2022-03-20 03:00:00,Asia/Bangkok,76.92,12.12,12.16,27.41
57,2022-03-20 04:00:00,Asia/Bangkok,78.10,15.71,15.82,27.14
58,2022-03-20 05:00:00,Asia/Bangkok,80.80,16.10,16.17,26.49
59,2022-03-20 06:00:00,Asia/Bangkok,80.79,16.90,17.13,26.54
60,2022-03-20 07:00:00,Asia/Bangkok,80.15,24.37,24.80,26.60
61,2022-03-20 08:00:00,Asia/Bangkok,81.11,37.70,45.57,26.42
62,2022-03-20 09:00:00,Asia/Bangkok,76.60,22.14,22.30,27.76
63,2022-03-20 10:00:00,Asia/Bangkok,70.80,11.83,11.83,29.35
64,2022-03-20 11:00:00,Asia/Bangkok,65.30,10.28,10.28,30.75
65,2022-03-20 12:00:00,Asia/Bangkok,59.25,9.77,9.77,32.64
66,2022-03-20 13:00:00,Asia/Bangkok,59.43,10.73,10.73,32.84
67,2022-03-20 14:00:00,Asia/Bangkok,68.25,11,11,30.29
68,2022-03-20 15:00:00,Asia/Bangkok,77.42,9.94,9.94,27.01
69,2022-03-20 16:00:00,Asia/Bangkok,79.89,8.18,8.19,26.54
70,2022-03-20 17:00:00,Asia/Bangkok,76.92,9.43,9.48,27.52
71,2022-03-20 18:00:00,Asia/Bangkok,75.81,13.89,13.89,28.01
72,2022-03-20 19:00:00,Asia/Bangkok,77.93,20.40,20.47,27.64
73,2022-03-20 20:00:00,Asia/Bangkok,80.19,28.13,29.83,27.15
74,2022-03-20 21:00:00,Asia/Bangkok,80.65,19.80,19.84,27.09
75,2022-03-20 22:00:00,Asia/Bangkok,79.34,24.03,24.47,27.14
76,2022-03-20 23:00:00,Asia/Bangkok,79.23,18.38,18.42,27.33
77,2022-03-21 00:00:00,Asia/Bangkok,82.44,26.33,26.92,26.71
