,day,month,year,moon_phase,full_moon_days,dark_moon_days,season_rainy,season_summer,season_winter
2025-03-13 00:00,13,3,2025,0.9841434478759765,1,0,0,1,0
2025-03-13 01:00,13,3,2025,0.9851530456542968,1,0,0,1,0
2025-03-13 02:00,13,3,2025,0.9861293029785156,1,0,0,1,0
2025-03-13 03:00,13,3,2025,0.9870722961425781,1,0,0,1,0
2025-03-13 04:00,13,3,2025,0.9879819488525391,1,0,0,1,0
2025-03-13 05:00,13,3,2025,0.9888583374023437,1,0,0,1,0
2025-03-13 06:00,13,3,2025,0.9897013854980469,1,0,0,1,0
2025-03-13 07:00,13,3,2025,0.9905111694335937,1,0,0,1,0
2025-03-13 08:00,13,3,2025,0.9912875366210937,1,0,0,1,0
2025-03-13 09:00,13,3,2025,0.9920307159423828,1,0,0,1,0
2025-03-13 10:00,13,3,2025,0.9927405548095704,1,0,0,1,0
2025-03-13 11:00,13,3,2025,0.9934171295166015,1,0,0,1,0
2025-03-13 12:00,13,3,2025,0.9940604400634766,1,0,0,1,0
2025-03-13 13:00,13,3,2025,0.9946704864501953,1,0,0,1,0
2025-03-13 14:00,13,3,2025,0.9952473449707031,1,0,0,1,0
2025-03-13 15:00,13,3,2025,0.9957909393310547,1,0,0,1,0
2025-03-13 16:00,13,3,2025,0.9963013458251954,1,0,0,1,0
2025-03-13 17:00,13,3,2025,0.996778564453125,1,0,0,1,0
2025-03-13 18:00,13,3,2025,0.9972225952148438,1,0,0,1,0
2025-03-13 19:00,13,3,2025,0.9976335144042969,1,0,0,1,0
2025-03-13 20:00,13,3,2025,0.9980113983154297,1,0,0,1,0
2025-03-13 21:00,13,3,2025,0.9983561706542968,1,0,0,1,0
2025-03-13 22:00,13,3,2025,0.9986678314208984,1,0,0,1,0
2025-03-13 23:00,13,3,2025,0.998946533203125,1,0,0,1,0
2025-03-14 00:00,14,3,2025,0.9991922760009766,1,0,0,1,0
2025-03-14 01:00,14,3,2025,0.9994050598144532,1,0,0,1,0
2025-03-14 02:00,14,3,2025,0.9995849609375,1,0,0,1,0
2025-03-14 03:00,14,3,2025,0.9997319793701172,1,0,0,1,0
2025-03-14 04:00,14,3,2025,0.99984619140625,1,0,0,1,0
2025-03-14 05:00,14,3,2025,0.9999276733398438,1,0,0,1,0
2025-03-14 06:00,14,3,2025,0.9999763488769531,1,0,0,1,0
2025-03-14 07:00,14,3,2025,0.9999923706054688,1,0,0,1,0
2025-03-14 08:00,14,3,2025,0.999975814819336,1,0,0,1,0
2025-03-14 09:00,14,3,2025,0.9999266052246094,1,0,0,1,0
2025-03-14 10:00,14,3,2025,0.9998448944091797,1,0,0,1,0
2025-03-14 11:00,14,3,2025,0.9997306823730469,1,0,0,1,0
2025-03-14 12:00,14,3,2025,0.9995840454101562,1,0,0,1,0
2025-03-14 13:00,14,3,2025,0.9994050598144532,1,0,0,1,0
2025-03-14 14:00,14,3,2025,0.9991938018798828,1,0,0,1,0
2025-03-14 15:00,14,3,2025,0.9989502716064453,1,0,0,1,0
2025-03-14 16:00,14,3,2025,0.998674545288086,1,0,0,1,0
2025-03-14 17:00,14,3,2025,0.99836669921875,1,0,0,1,0
2025-03-14 18:00,14,3,2025,0.9980268096923828,1,0,0,1,0
2025-03-14 19:00,14,3,2025,0.9976548767089843,1,0,0,1,0
2025-03-14 20:00,14,3,2025,0.9972510528564453,1,0,0,1,0
2025-03-14 21:00,14,3,2025,0.9968154144287109,1,0,0,1,0
2025-03-14 22:00,14,3,2025,0.9963479614257813,1,0,0,1,0
2025-03-14 23:00,14,3,2025,0.9958488464355468,1,0,0,1,0
2025-03-15 00:00,15,3,2025,0.9953179931640626,1,0,0,1,0
2025-03-15 01:00,15,3,2025,0.9947556304931641,1,0,0,1,0
2025-03-15 02:00,15,3,2025,0.9941618347167969,1,0,0,1,0
2025-03-15 03:00,15,3,2025,0.993536605834961,1,0,0,1,0
2025-03-15 04:00,15,3,2025,0.9928800201416016,1,0,0,1,0
2025-03-15 05:00,15,3,2025,0.9921922302246093,1,0,0,1,0
2025-03-15 06:00,15,3,2025,0.9914732360839844,1,0,0,1,0
2025-03-15 07:00,15,3,2025,0.9907231903076172,1,0,0,1,0
2025-03-15 08:00,15,3,2025,0.9899421691894531,1,0,0,1,0
2025-03-15 09:00,15,3,2025,0.9891301727294922,1,0,0,1,0
2025-03-15 10:00,15,3,2025,0.9882874298095703,1,0,0,1,0
2025-03-15 11:00,15,3,2025,0.9874139404296876,1,0,0,1,0
2025-03-15 12:00,15,3,2025,0.986509780883789,1,0,0,1,0
2025-03-15 13:00,15,3,2025,0.9855750274658203,1,0,0,1,0
2025-03-15 14:00,15,3,2025,0.9846099090576171,1,0,0,1,0
2025-03-15 15:00,15,3,2025,0.9836143493652344,1,0,0,1,0
2025-03-15 16:00,15,3,2025,0.9825885772705079,1,0,0,1,0
2025-03-15 17:00,15,3,2025,0.9815325927734375,1,0,0,1,0
2025-03-15 18:00,15,3,2025,0.980446548461914,1,0,0,1,0
2025-03-15 19:00,15,3,2025,0.9793305206298828,0,0,0,1,0
2025-03-15 20:00,15,3,2025,0.9781846618652343,0,0,0,1,0
2025-03-15 21:00,15,3,2025,0.9770089721679688,0,0,0,1,0
2025-03-15 22:00,15,3,2025,0.9758036041259766,0,0,0,1,0
2025-03-15 23:00,15,3,2025,0.9745687103271484,0,0,0,1,0
